Grupo Vehiculo;Placa;digito;Codigo SII;Año Vehículo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;Año Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisión;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas
Vehiculo Liviano;GKDR-61;6;HB050015114;2014;2330249;Presencial;34295;485;1477;36257;Total;18-06-2024;2024;AUTOMOVIL;CHEVROLET;SPARK;BLANCO;Mec;Benc;1000;Equi;4
Vehiculo Liviano;DCWY-72;1;SD050026111;2011;4729332;Presencial;59172;837;2548;62557;Total;18-06-2024;2024;Sedan;CHEVROLET;CRUZE;BLANCO;Aut;Diés;2000;Full;4
Vehiculo Liviano;PPSG-47;5;HB229018521;2021;8975793;Presencial;162151;2293;6983;171427;Total;18-06-2024;2024;AUTOMOVIL;SUZUKI;BALENO;BLANCO PERLA;Mec;Benc;1400;NULL;4
Transporte Publico;GPYX-70;8;NULL;2017;1;Presencial;66757;327;987;68071;Total;18-06-2024;2024;TAXI BASICO;TOYOTA;YARIS 1.5;NEGRO AMARILLO;NULL;NULL;1500;NULL;0
Vehiculo Liviano;RWWY-49;1;CT558002222;2022;9513360;Presencial;179256;2535;7719;189510;Total;18-06-2024;2024;CAMIONETA;KYC;X5;BLANCO;Mec;Benc;1800;NULL;2
Carga;WT-7594;9;NULL;2007;3;Internet;223387;6839;26570;256796;Total;18-06-2024;2023;CAMION;FORD;CARGO 4431 L;BLANCO;NULL;NULL;NULL;NULL;0
Carga;HJGD-51;5;NULL;2015;1,5;Internet;111694;3420;13285;128399;Total;18-06-2024;2023;TRACTOCAMION;MACK;CXU 613;BLANCO;NULL;NULL;NULL;NULL;0
Vehiculo Liviano;CPTH-58;K;HB050011411;2011;1569794;Internet;34295;485;1477;36257;Total;18-06-2024;2024;AUTOMOVIL;CHEVROLET;SPARK LITE HB 0.8 MT;AZUL DEPORTIVO;Mec;Benc;800;Norm;4
Vehiculo Liviano;CYBH-92;K;HB050011211;2011;2043765;Internet;34295;485;1477;36257;Total;18-06-2024;2024;AUTOMOVIL;CHEVROLET;SPARK GT HB 1.2 MT LT;PLATEADO METALICO;Mec;Benc;1200;Equi;4
Vehiculo Liviano;TG-9995;6;SD057004299;1999;1007992;Internet;17148;243;738;18129;1ra. Cuota;18-06-2024;2024;AUTOMOVIL;DAEWOO;NUBIRA S;GRIS PLATA;Mec;Benc;1600;Equi;4
Vehiculo Liviano;FHBV-55;7;SD050028313;2013;2583849;Internet;34295;485;1477;36257;Total;18-06-2024;2024;Sedan;CHEVROLET;SAIL;PLATEADO PLATA;Mec;Benc;1400;NULL;4
Vehiculo Liviano;KRHT-39;2;SU227047719;2019;11518693;Internet;243066;3437;10467;256970;Total;18-06-2024;2024;STATION WAGON;SUBARU;XV;AZUL OSCURO PERLADO;Aut;Benc;1600;Full;4
Vehiculo Liviano;BCSJ-88;8;SD050022108;2008;2059899;Internet;34295;485;1477;36257;Total;18-06-2024;2024;AUTOMOVIL;CHEVROLET;OPTRA II LS NB 1.6 MT AC;VERDE;Mec;Benc;1600;Full;4
Vehiculo Liviano;YL-7701;1;CT176018205;2005;3032898;Internet;34295;485;1477;36257;Total;18-06-2024;2024;CAMIONETA;NISSAN;TERRANO AX-SP TDI 4X4;PLATEADO METAL;Mec;Dies;3000;Full;4
Vehiculo Liviano;FZVY-90;K;CT176023713;2013;5917580;Internet;84379;1193;3634;89206;Total;18-06-2024;2024;CAMIONETA;NISSAN;TERRANO PICK UP DXS;ROJO;Mec;Dies;2500;Equi;4
Vehiculo Liviano;SZ-8480;0;SU229004499;1999;1373724;Internet;34295;485;1477;36257;Total;18-06-2024;2024;STATION WAGON;SUZUKI;VITARA STD 1.6 IJX DH;ROJO;Mec;Benc;1600;Norm;2
Vehiculo Liviano;KZ-2217;0;SD032006294;1994;1418325;Internet;34295;485;1477;36257;Total;18-06-2024;2024;AUTOMOVIL;B.M.W;325;PLATEADO;Aut;Benc;2500;Full;2
Vehiculo Liviano;FXPZ-36;5;CT268000913;2013;2782233;Internet;34295;485;1477;36257;Total;18-06-2024;2024;CAMIONETA;HUANGHAI;GRAND TIGER 2.2 CUV DC PLUS;VERDE INGLES;Mec;Benc;2200;Equi;4
Vehiculo Liviano;CSDJ-18;5;SD166005606;2006;2497680;Presencial;34295;485;1477;36257;Total;19-06-2024;2024;AUTOMOVIL;MITSUBISHI;ECLIPSE 2.4;NEGRO;Aut;Benc;2000;Full;4
Vehiculo Liviano;DTWF-42;3;SD050026512;2012;2170987;Presencial;34295;485;1477;36257;Total;19-06-2024;2024;AUTOMOVIL;CHEVROLET;SAIL;BLANCO;Mec;Benc;1400;Norm;4
Vehiculo Liviano;LJRD-10;2;CT235015619;2019;12458834;Presencial;136491;1930;5878;144299;1ra. Cuota;19-06-2024;2024;CAMIONETA;TOYOTA;HILUX;BLANCO;Mec;Diés;2400;NULL;4
